time,x,y,angular_z
20.6,-0.3573034899685166,-4.806201951394685,-0.4046313845055695
20.62,-0.3752289663816445,-4.797332051856559,-0.4046316553303653
20.64,-0.3930820757603374,-4.788317380039772,-0.40463192078985266
20.66,-0.4108616488494943,-4.779158526224108,-0.40463218098998344
20.68,-0.42856652120863664,-4.769856090134912,-0.4046324360356178
20.7,-0.4461955332882092,-4.76041068090379,-0.40463268602853836
20.72,-0.4637475305055707,-4.750822917028681,-0.4046329310688425
20.74,-0.4812213633206654,-4.741093426333311,-0.4046331712548137
20.76,-0.4986158873113604,-4.7312228459260375,-0.40463340668228504
20.78,-0.515929963248445,-4.721211822158093,-0.4046336374456909
20.8,-0.5331624571702901,-4.711061010581216,-0.40463386363726106
20.82,-0.5503122404571609,-4.700771075904686,-0.404634085347903
20.84,-0.5673781899051775,-4.690342691951747,-0.4046343026662229
20.86,-0.5843591877999231,-4.679776541615453,-0.40463451567923525
20.88,-0.6012541219896809,-4.669073316813906,-0.4046347244718934
20.9,-0.6180618859583199,-4.658233718444907,-0.40463492912847465
20.92,-0.6347813788978288,-4.647258456340008,-0.40463512973126187
20.94,-0.6514115057804186,-4.636148249218003,-0.4046353263592238
20.96,-0.6679511774302558,-4.62490382463784,-0.4046355190917677
20.98,-0.6843993105948845,-4.613525918950912,-0.4046357080060647
21.02,-0.7170166585009669,-4.5903726533344935,-0.40463607468065
21.04,-0.7331837369911571,-4.578598809632884,-0.40463625258809477
21.06,-0.7492550046335853,-4.566694517180917,-0.40463642697098856
21.08,-0.7652294088493679,-4.554660555556993,-0.4046365978991553
21.1,-0.7811059034028753,-4.542497712833909,-0.40463676544103555
21.12,-0.7968834484702926,-4.5302067855272,-0.40463692966405207
21.14,-0.8125610107077312,-4.517788578542963,-0.4046370906332851
21.16,-0.8281375633189481,-4.5052439051250905,-0.4046372484131878
21.18,-0.8436120861226215,-4.492573586801997,-0.40463740306761214
21.2,-0.8589835656191952,-4.479778453332776,-0.4046375546581452
21.22,-0.8742509950572817,-4.466859342652833,-0.4046377032454849
21.24,-0.8894133744996255,-4.45381710081897,-0.404637848888789
21.26,-0.9044697108886158,-4.44065258195396,-0.4046379916470503
